,날짜,언론사,제목,sentiment
3746,2022.01.04,더구루,"테슬라, 올해 판매량 150만대 넘어설 듯",1
3747,2022.01.04,연합인포맥스,"테슬라, 새해 첫날 14% 급등…도이체 ""올해 주가 상승 여력 크다""",1
3748,2022.01.04,이투데이,"‘엎치락뒤치락’ 글로벌 자동차 시장…포드, 테슬라 잡고 도요타, GM 아성 위협",1
3749,2022.01.04,뷰어스,[정종태의 증시 Veiw] 테슬라 인도량 증가...관련주 수혜 전망,1
3754,2022.01.04,아시아경제,"[특징주]TCC스틸, 숨겨진 초저평가 2차전지株…테슬라 역대최고 인도량",1
3756,2022.01.04,뉴스1,[속보] 테슬라 13.53% 폭등한 1199.78달러에 마감,1
3757,2022.01.04,핀포인트뉴스,"테슬라, '실적 덕분?' 주가 13.53% 급등...고점까지 43달러",1
3758,2022.01.04,매일경제TV,[특징주] 테슬라 '천이백슬라' 복귀 예고에 관련주 강세,1
3759,2022.01.04,핀포인트뉴스,테슬라·루시드모터스 폭등…2022년에도 전기차 관련주 훈풍부나,1
3760,2022.01.04,아시아경제,애플이 끌고 테슬라가 밀고‥뉴욕증시 2022년 첫거래 급등,1
3762,2022.01.04,머니S,[뉴욕증시] 새해 첫 거래일 '1월효과'?… 애플 시총 3조 돌파·테슬라 14% 급등,1
3763,2022.01.04,이코리아,"테슬라 등 S&P500 125개 종목 수익률, 비트코인 제쳤다",1
3765,2022.01.04,뉴데일리,폭스바겐·테슬라 1조… 글로비스 '현대차 의존' 줄인다,1
3766,2022.01.04,쿠키뉴스,"뉴욕증시, 새해 첫날 훈풍…애플 시총 3조 돌파·테슬라 13%↑",1
3767,2022.01.04,금강일보,씨아이이에스의 주가 강세... 테슬라 호황 여파?,1
3768,2022.01.04,이코노믹리뷰,[경제直視] 애플+테슬라+반도체 '1월 효과',1
3769,2022.01.04,글로벌이코노믹,[뉴욕증시] 새해 첫 거래부터 다우·S&P500 사상최고… 테슬라 13.53% 급등 훨훨 날았다,1
3775,2022.01.04,한국경제TV,애플·테슬라 웃은 새해 첫 장…오미크론 확산에 '청개구리 투심' 주목 [글로벌마켓 A/S],1
3776,2022.01.04,MBC,[뉴스 열어보기] '위급 때 못 여는 문' 테슬라 전 모델 확인 쉬쉬하며 팔았나,0
3779,2022.01.04,디지털데일리,애플 · 테슬라가 돋보인 美 증시… 새해 첫 날 3대 지수 상승,1
3783,2022.01.04,청년일보,"美 뉴욕증시, 새해 첫 거래일 상승 출발...테슬라 강세",1
3784,2022.01.04,이코노뉴스,"뉴욕증시, 올 첫 거래 경기회복 전망에 상승 출발-다우‧S&P500 신고가…애플 장중 시총 3조달러 돌파, 테슬라 13%대 급등세",1
3786,2022.01.04,이코노뉴스,"KEC·엠에스오토텍, 테슬라 관련주 모두 상승세로…특히 KEC 가파른 상승세로 4% 상승",1
3788,2022.01.04,미디어펜,오미크론 확산에도…미국 새해 첫 장 '애플·테슬라' 웃었다,1
3793,2022.01.04,시사저널이코노미,주문취소하면 車가치 떨어지나···테슬라 제재 여부 가를 '청약철회권',0
3794,2022.01.04,머니S,"[특징주] 국보디자인, 애플·테슬라 주가 폭등… 보유지분 부각에 강세",1
3795,2022.01.04,내일신문,"주문수수료 안돌려준 테슬라, 공정거래위원회 제재 착수",0
3796,2022.01.04,아시아경제,"[굿모닝 증시] 美증시, 애플·테슬라 훈풍…韓증시 실적장세 진입 전망",1
3797,2022.01.04,인더뉴스,"테슬라, 전기차 선도국 판매 1위…신년 초 주가 폭등",1
3802,2022.01.04,이데일리,새해 첫거래일 뉴욕증시 강보합…테슬라 9% 폭등,1
3807,2022.01.04,핀포인트뉴스,"테슬라, '인권탄압 의혹' 中 신장에 첫 대리점 개설",1
3808,2022.01.04,데일리카,"테슬라, 국내 진출 4년 만에 누적 판매 3만대 돌파",1
3809,2022.01.04,아시아경제,"[클릭 e종목]""테슬라, 신규 공장 가동·美 보조금 확대로 성장 지속""",1
3816,2022.01.04,국제뉴스,[테슬라 관련주] KEC·명신산업·한온시스템 상승세 '테슬라 역대 최다물량 경신',1
3818,2022.01.04,글로벌이코노믹,"테슬라, 주가 13% 폭등...""2022년 전망도 밝아""",1
3821,2022.01.04,뉴스락,"테슬라, 전기차 주문 취소해도 수수료는 안 돌려줘…공정위 제재 착수",0
3822,2022.01.04,MBN,"새해 첫날 뉴욕 증시 강세…애플 시총 3조 달러, 테슬라 13.5%↑",1
3823,2022.01.04,연합인포맥스,테슬라 4분기 차량 인도 역대 최대…주가 개장 전 7%↑,1
3825,2022.01.04,내외경제tv,"천이백슬라' 재탄생하나, 테슬라 주가 훈풍 불어..관련주는?",1
3826,2022.01.04,엠투데이,"테슬라. 포르쉐, 수입차 신흥강자로...작년 판매순위 4위. 10위 올라",1
3827,2022.01.04,더구루,"테슬라, 올해 판매량 150만대 넘어설 듯",1
3828,2022.01.04,연합인포맥스,"테슬라, 새해 첫날 14% 급등…도이체 ""올해 주가 상승 여력 크다""",1
3829,2022.01.04,매일경제TV,"애플, 장중 시총 3조달러…테슬라 14%↑",1
3830,2022.01.04,머니투데이,"애플·테슬라 호재에 美증시 강세…""국내 IT·자동차株 주목""",1
3831,2022.01.04,조선비즈,"포드, 지난해 주가 140% 상승…테슬라 제치고 車업계 1위",0
3833,2022.01.04,이투데이,"‘엎치락뒤치락’ 글로벌 자동차 시장…포드, 테슬라 잡고 도요타, GM 아성 위협",0
3834,2022.01.04,연합인포맥스,"포드, 지난해 주가 상승률 140%…테슬라 앞질렀다",0
3836,2022.01.04,이투데이,"‘엎치락뒤치락’ 글로벌 자동차 시장…포드, 테슬라 잡고 도요타, GM 아성 위협",0
3838,2022.01.04,뷰어스,[정종태의 증시 Veiw] 테슬라 인도량 증가...관련주 수혜 전망,1
3840,2022.01.04,글로벌이코노믹,"테슬라, '인권유린' 혐의 신장에 전기차 쇼룸 개장",0
3849,2022.01.04,글로벌경제,"""작년, 노르웨이서 팔린 차 ⅔는 전기차""…테슬라가 1위",1
3851,2022.01.04,아시아경제,"[특징주]TCC스틸, 숨겨진 초저평가 2차전지株…테슬라 역대최고 인도량",1
3852,2022.01.04,세이프타임즈,도어핸들 결함 사망사고' 테슬라 국내 4년간 수리내역만 1956건,0
3855,2022.01.04,뉴스1,[속보] 테슬라 13.53% 폭등한 1199.78달러에 마감,1
3856,2022.01.04,핀포인트뉴스,"테슬라, '실적 덕분?' 주가 13.53% 급등...고점까지 43달러",1
3858,2022.01.04,매일경제TV,[특징주] 테슬라 '천이백슬라' 복귀 예고에 관련주 강세,1
3859,2022.01.04,핀포인트뉴스,테슬라·루시드모터스 폭등…2022년에도 전기차 관련주 훈풍부나,1
3861,2022.01.04,아시아경제,애플이 끌고 테슬라가 밀고‥뉴욕증시 2022년 첫거래 급등,1
3863,2022.01.04,베타뉴스,테슬라 11.6%…노르웨이서 폭스바겐 제치고 점유율 1위 등극,1
3864,2022.01.04,더팩트,"뉴욕증시, 새해 첫 거래일 상승 마감…테슬라 14%↑",1
3866,2022.01.04,머니S,[뉴욕증시] 새해 첫 거래일 '1월효과'?… 애플 시총 3조 돌파·테슬라 14% 급등,1
3867,2022.01.04,싱글리스트,"애플·테슬라, 새해 첫 거래일 시총 급등...뉴욕증시 훈풍",1
3869,2022.01.04,중소기업신문,"공정위 ""테슬라, 주문 취소해도 수수료 안 돌려줘"" 제재",0
3872,2022.01.04,핀포인트뉴스,"포드, 지난해 美 자동차 주식 중 상승률 1위...테슬라 꺾어",1
3873,2022.01.04,쿠키뉴스,"뉴욕증시, 새해 첫날 훈풍…애플 시총 3조 돌파·테슬라 13%↑",1
3874,2022.01.04,쿠키뉴스,"뉴욕증시, 새해 첫날 훈풍…애플 시총 3조 돌파·테슬라 13%↑",1
3875,2022.01.04,금강일보,씨아이이에스의 주가 강세... 테슬라 호황 여파?,1
3876,2022.01.04,이코노믹리뷰,[경제直視] 애플+테슬라+반도체 '1월 효과',1
3878,2022.01.04,글로벌이코노믹,[뉴욕증시] 새해 첫 거래부터 다우·S&P500 사상최고… 테슬라 13.53% 급등 훨훨 날았다,1
3886,2022.01.04,한국경제TV,애플·테슬라 웃은 새해 첫 장…오미크론 확산에 '청개구리 투심' 주목 [글로벌마켓 A/S],1
3887,2022.01.04,MBC,[뉴스 열어보기] '위급 때 못 여는 문' 테슬라 전 모델 확인 쉬쉬하며 팔았나,0
3890,2022.01.04,디지털데일리,애플 · 테슬라가 돋보인 美 증시… 새해 첫 날 3대 지수 상승,1
3892,2022.01.04,글로벌이코노믹,[속보] 애플 시총 3조 돌파 테슬라 폭발 뉴욕증시 1월효과 후끈,1
3893,2022.01.04,Queen,뉴욕증시 일제 상승 다우·S&P 사상 최고…애플 시총 3조달러·테슬라 13.5% 폭등,1
3894,2022.01.04,서울이코노미뉴스,"애플 시총 최초 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'",1
3897,2022.01.04,글로벌경제,"테슬라 13% 폭등, 애플, 장중 시총3조달러 돌파...새해 벽두부터 대형기술주 초강세",1
3898,2022.01.04,이코노뉴스,"센트랄모텍·명신산업, 테슬라 관련주 모두 상승 흐름…센트랄모텍 2% 상승 이어 명신산업 1% 상승",1
3900,2022.01.04,청년일보,"美 뉴욕증시, 새해 첫 거래일 상승 출발...테슬라 강세",1
3901,2022.01.04,이코노뉴스,"뉴욕증시, 올 첫 거래 경기회복 전망에 상승 출발-다우‧S&P500 신고가…애플 장중 시총 3조달러 돌파, 테슬라 13%대 급등세",1
3905,2022.01.04,이코노뉴스,"KEC·엠에스오토텍, 테슬라 관련주 모두 상승세로…특히 KEC 가파른 상승세로 4% 상승",1
3909,2022.01.04,미디어펜,오미크론 확산에도…미국 새해 첫 장 '애플·테슬라' 웃었다,1
3919,2022.01.04,핀포인트뉴스,유럽 주요국 상승 마감 다우· 나스닥지수 훨훨... 테슬라 11% 이상 폭등 중,1
3924,2022.01.04,초이스경제,미국증시 나스닥100 '껑충'...테슬라·AMD '급등' vs 모더나·핀듀오듀오·JD닷컴 '급락',1
3926,2022.01.04,베타뉴스,[베타 모닝브리핑] '새해 첫날 위험선호 복귀' 테슬라 13%대 급등,1
3930,2022.01.04,초이스경제,"미국증시 마감 41분전...애플·엔비디아 '2%대 상승', 테슬라·니오 '급등', 美10년물금리 1.631%",1
3931,2022.01.04,초이스경제,"새해 첫 거래일...미국증시 '상승', 애플·테슬라·여행·에너지주 '껑충', 다우·S&P500 '사상최고'",1
3932,2022.01.04,초이스경제,"미국증시 마감 약1시간전...3대지수 '상승', 애플 '껑충', 테슬라 등 전기차주들 '급등', 유가 '상승'",1
4186,2022.01.04,뉴스1,[CES2022]테슬라 13% 이상 폭등,1
4187,2022.01.04,뉴스1,[CES2022]'베가스 루프' 통과하는 테슬라 차량,1
4188,2022.01.04,뉴스1,[CES2022]테슬라 차량으로 운영되는 '베가스 루프',1
4189,2022.01.04,뉴스1,"[CES2022]테슬라 4분기 사상 최대 차량 인도, 13.53% 폭등",1
4190,2022.01.04,뉴스1,"[CES2022]테슬라 4분기 사상 최대 차량 인도, 13.53% 폭등",1
4191,2022.01.04,뉴스1,"[CES2022]테슬라 4분기 사상 최대 차량 인도, 13.53% 폭등",1
4192,2022.01.04,뉴스1,"테슬라 4분기 사상 최대 차량 인도, 13.53% 폭등(상보)",1
4193,2022.01.04,뉴스1,"[CES2022]테슬라 13% 이상 폭등, 사상최고치 1222.09달러에 근접",1
4194,2022.01.04,뉴스1,[CES2022]4분기 차량인도 사상 최고 기록 소식에 13% 폭등한 테슬라,1
4253,2022.01.04,아시아투데이,"애플 시총, 전세계 기업 첫 3조달러 돌파...테슬라도 폭등",1
4260,2022.01.04,이데일리,[뉴욕증시]정초부터 다우·S&P 또 신고점…테슬라 13.5%↑,1
4261,2022.01.04,딜라이트닷넷,[뉴욕증시] 3대 지수 모두 상승…테슬라 주가 13% 급등,1
4298,2022.01.04,이데일리,[뉴욕증시]정초부터 다우·S&P 또 신고점…테슬라 13.5%↑,1
4299,2022.01.04,딜라이트닷넷,[뉴욕증시] 3대 지수 모두 상승…테슬라 주가 13% 급등,1
4336,2022.01.04,조선일보,"美는 제재 수위 높이는데… 머스크, 中신장에 테슬라 대리점 열어",1
4337,2022.01.04,노컷뉴스,테슬라 미중 대결의 정점 신장에 대리점 열어…'머니 머니해도 돈',0
4338,2022.01.04,데일리안,"일론 머스크 친중 행보?, 인권탄압 논란 中 신장에 테슬라 대리점 개설",0
4339,2022.01.04,블로터,미·중 대립점 '신장위구르'에 테슬라 대리점 열었다,0
4340,2022.01.04,연합뉴스,"친중' 머스크, 인권탄압 논란 중국 신장에 첫 테슬라 대리점(종합)",0
4341,2022.01.04,조선비즈,"“테슬라, 인권탄압 논란 中 신장에 대리점 개설”",0
4342,2022.01.04,이데일리,"머스크, ‘인권탄압 논란’ 신장에 테슬라 매장 열어…왜?",0
4343,2022.01.04,세계일보,"“비열한 테슬라, 인권탄압 공범”… 中 신장 대리점 개설에 ‘뭇매’",0
4344,2022.01.04,동아일보,‘인권탄압 논란’ 中신장서 첫 대리점 개설…테슬라의 친중 행보,0
4345,2022.01.04,MBC,"[이 시각 세계] 테슬라, 중국 신장위구르에 매장 개설",0
4346,2022.01.04,연합뉴스,"테슬라, '인권탄압 논란' 중국 신장에 첫 대리점 개설",0
4347,2022.01.04,데일리한국,"美 테슬라, 인권탄압 논란 중국 신장에 첫 대리점 개설",0
4348,2022.01.04,중앙일보,美 제재에도 中과 밀착하는 테슬라…'인권탄압' 신장에 대리점,0
4349,2022.01.04,파이낸셜뉴스,"테슬라, 중 신장위구르에 매장 개설",0
4350,2022.01.04,BBC,"테슬라, 중국 신장 대리점 열어… '인권탄압 동조' 비판",0
4351,2022.01.04,머니투데이,"테슬라 ""새해는 中신장에서""…인권 논란 지역에 첫 대리점 '자축'",0
4352,2022.01.04,헤럴드경제,"머스크, 인권탄압 논란 中 신장에 첫 테슬라 대리점",0
4353,2022.01.04,서울경제,"중국 車 시장에 목멘 테슬라, 신장에도 대리점 개설",0
4354,2022.01.04,뉴시스,"美테슬라, 인권탄압 의혹 지역 '중국 신장'에 대리점 개설 발표",0
4355,2022.01.04,한국일보,테슬라의 ‘마이웨이’…미중 갈등 진원지 신장위구르에 새 매장 개설,0
4356,2022.01.04,매일경제,"美·中 '인권 갈등' 와중에…테슬라, 신장에 대리점 개설",0
4357,2022.01.04,전자신문,"테슬라, '인권탄압 논란' 中 신장에 첫 대리점 개설",0
4358,2022.01.04,아시아경제,인권탄압 논란' 中신장에 대리점 낸 테슬라,0
4359,2022.01.04,한국경제,인권탄압 논란' 中 신장에 첫 자동차 전시장 낸 테슬라,0
4360,2022.01.04,연합뉴스,"친중' 머스크, 인권탄압 논란 중국 신장에 첫 테슬라 대리점(종합2보)",0
4361,2022.01.04,한국경제,"美 제재에도 中과 밀착하는 테슬라, '인권탄압 논란' 신장에 전시장 개설",0
4362,2022.01.04,이투데이,"테슬라, 친중 행보 한발 더...‘인권탄압 논란’ 신장서 대리점 개설",0
4363,2022.01.04,아시아투데이,"테슬라, 中 신장에 첫 대리점 개설...""테슬라는 신장을 사랑해""",0
4364,2022.01.04,YTN,"美 테슬라, 인권탄압 논란 중국 신장에 대리점 개설",0
4365,2022.01.04,VOA,테슬라 중국 신장에 쇼룸 개설,0
4366,2022.01.04,연합뉴스TV,"미 기업 테슬라, '인권탄압 논란' 중국 신장에 첫 대리점",0
4367,2022.01.04,서울와이어,"신장 위구르족 자치지구 입성한 테슬라, 미국 아닌 중국 선택했나?",0
4368,2022.01.04,뉴스웍스,"테슬라, '인권탄압' 신장 우루무치에 전시장 첫 개설…美 정계·단체 '강력 비판'",0
4369,2022.01.04,ZDNet Korea,"테슬라, 中 신장에 매장 개설",0
4370,2022.01.04,SBS Biz,"테슬라, 中 신장에 첫 대리점 개설",0
4371,2022.01.04,뉴스퀘스트,"테슬라, '인권탄압 논란' 中 신장에 첫 대리점 열었다",0
4372,2022.01.04,연합뉴스TV,"테슬라, '인권탄압 논란' 중국 신장에 첫 대리점",0
4373,2022.01.04,경향신문,"테슬라, 중국 신장 지역 대리점 개설…WSJ “머스크, 소수민족 탄압 동조 논란 한복판 뛰어들었다”",0
4374,2022.01.04,SBS Biz,"테슬라, ‘인권탄압 논란’ 中 신장에 첫 대리점 개설",0
4375,2022.01.04,디지털데일리,"인권'보다 '자본'…美 테슬라, 中 신장위구르 매장 개설",0
4376,2022.01.04,이코노믹리뷰,테슬라 '인권유린 의혹' 中 신장에 전시장 열어,0
4377,2022.01.04,뉴스토마토,"테슬라, '인권탄압 의혹' 중국 신장에 첫 대리점 개설",0
4378,2022.01.04,문화일보,"테슬라, ‘인권탄압 논란’ 중국 신장에 첫 대리점 개설",0
4379,2022.01.04,아주경제,"미·중 갈등에도...테슬라, 신장위구르자치구에 첫 대리점 오픈",0
4381,2022.01.04,헬로티,"신장 지역에 대리점 개설한 테슬라, 시장 확장에 '성역' 없다",0
4382,2022.01.04,핀포인트뉴스,"테슬라, '인권탄압 의혹' 中 신장에 첫 대리점 개설",0
4385,2022.01.04,글로벌이코노믹,"테슬라, '인권유린' 혐의 신장에 전기차 쇼룸 개장",0
4428,2022.01.04,이데일리,[뉴욕증시]정초부터 다우·S&P 또 신고점…테슬라 13.5%↑,1
4429,2022.01.04,딜라이트닷넷,[뉴욕증시] 3대 지수 모두 상승…테슬라 주가 13% 급등,1
4445,2022.01.04,머니S,"아동 노동착취 논란 테슬라 어떻게 대응했나… ""테크기업 ESG 리스크 수면위로""",0
4547,2022.01.04,연합뉴스,"애플 시총 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'",1
4548,2022.01.04,매경이코노미,애플 세계 첫 시총 3조 달러·테슬라 ‘천이백슬라’ 고지…새해 첫날 활짝 핀 美 증시,1
4549,2022.01.04,직썰,애플 세계 첫 '시총 3조달러'·테슬라 '1200슬라'...뉴욕증시 훈풍,1
4550,2022.01.04,매일경제TV,"애플, 장중 시총 3조달러…테슬라 14%↑",1
4551,2022.01.04,MBN,"새해 첫날 뉴욕 증시 강세…애플 시총 3조 달러, 테슬라 13.5%↑",1
4552,2022.01.04,글로벌이코노믹,"[뉴욕증시] 테슬라· 애플 동시 폭발, 올해도 ""기술주"" 골드만삭스 진단",1
4554,2022.01.04,싱글리스트,"애플·테슬라, 새해 첫 거래일 시총 급등...뉴욕증시 훈풍",1
4555,2022.01.04,중소기업신문,"뉴욕증시, 새해 첫 거래일 사상 최고치 애플 시총 3조달러…테슬라 14% 급등",1
4556,2022.01.04,서울이코노미뉴스,"애플 시총 최초 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'",1
4557,2022.01.04,연합뉴스,"애플 시총 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'(종합)",1
4558,2022.01.04,글로벌이코노믹,[속보] 애플 시총 3조 돌파 테슬라 폭발 뉴욕증시 1월효과 후끈,1
4561,2022.01.04,연합뉴스,"애플 시총 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'",1
4562,2022.01.04,매경이코노미,애플 세계 첫 시총 3조 달러·테슬라 ‘천이백슬라’ 고지…새해 첫날 활짝 핀 美 증시,1
4563,2022.01.04,직썰,애플 세계 첫 '시총 3조달러'·테슬라 '1200슬라'...뉴욕증시 훈풍,1
4564,2022.01.04,매일경제TV,"애플, 장중 시총 3조달러…테슬라 14%↑",1
4565,2022.01.04,MBN,"새해 첫날 뉴욕 증시 강세…애플 시총 3조 달러, 테슬라 13.5%↑",1
4566,2022.01.04,글로벌이코노믹,"[뉴욕증시] 테슬라· 애플 동시 폭발, 올해도 ""기술주"" 골드만삭스 진단",1
4568,2022.01.04,싱글리스트,"애플·테슬라, 새해 첫 거래일 시총 급등...뉴욕증시 훈풍",1
4569,2022.01.04,중소기업신문,"뉴욕증시, 새해 첫 거래일 사상 최고치 애플 시총 3조달러…테슬라 14% 급등",1
4570,2022.01.04,서울이코노미뉴스,"애플 시총 최초 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'",1
4571,2022.01.04,연합뉴스,"애플 시총 3조달러, 테슬라 14%↑…새해 첫날 뉴욕증시 '훈풍'(종합)",1
4572,2022.01.04,글로벌이코노믹,[속보] 애플 시총 3조 돌파 테슬라 폭발 뉴욕증시 1월효과 후끈,1
4669,2022.02.26,초이스경제,"미국증시 자동차주...테슬라 · 루시드 · 포드 '상승', 리비안 '하락'",1
4671,2022.02.26,글로벌경제,"테슬라 1.14% 엔비디아 1.72% 상승...뉴욕증시, 이틀 째 '안도 랠리'",1
4672,2022.02.26,이코노뉴스,"뉴욕증시, 러시아와 우크라 대화준비 소식에 이틀째 상승…애플, 테슬라 1%대 상승 등 기술주 강세 지속-엔비디아 등 반도체주도 상승세",1
4673,2022.02.26,테크M,"[글로벌] 美 당국, 테슬라 머스크 형제 조사 착수...'내부자 거래' 위반 여부 묻는다",0
4675,2022.02.26,핀포인트뉴스,다우· 나스닥 폭등랠리 무슨일?... 테슬라 상승에 삼성SDI LG화학 SK이노베이션 훈풍?,1
4678,2022.02.26,매일안전신문,"테슬라 Model 3·Y, 미디어 컨트롤 유닛 소프트웨어 '제작결함'…승객 충돌보호 미적합 '리콜'",0
4718,2022.02.26,이코노뉴스,"뉴욕증시, 러시아와 우크라 대화준비 소식에 이틀째 상승…애플, 테슬라 1%대 상승 등 기술주 강세 지속-엔비디아 등 반도체주도 상승세",1
4727,2022.02.02,뉴시스,"테슬라, 자율주행차 5만4000대 리콜…'완전멈춤' 미작동 우려",0
4728,2022.02.02,한국경제,"혁신의 테슬라, 만족도 '보통'…포르쉐·렉서스·벤츠 '3强 굳건'",0
4729,2022.02.02,머니S,"테슬라, 리콜 여파로 0.58%↓… 뉴욕증시 사흘 연속 상승",0
4731,2022.02.02,뉴스1,"테슬라 자율주행차에 문제…5만4000대 리콜, 주가 0.58%↓",0
4732,2022.02.02,파이낸셜뉴스,"애플·테슬라 이어 구글 알파벳도 ""20대 1 주식분할""",0
4738,2022.02.02,글로벌이코노믹,"[동영상] 테슬라, 이틀간 급등후 리콜에 소폭 하락",0
4744,2022.02.02,디지털데일리,"테슬라 ‘자율주행’ 리콜 · 美 FTC, MS-블리자드 인수 ‘반독점’ 검토…미 증시, 상승 지속",0
4745,2022.02.02,핀포인트뉴스,설 연휴 동안 테슬라·리비안·루시드 '폭등'…이유는?,1
4748,2022.02.02,글로벌경제,"테슬라 애플 등 성장주 대형기술주, 조정국면...뉴욕증시, 3일째 상승 이어가",1
4749,2022.02.02,이코노뉴스,"뉴욕증시, 기업실적 호조 등 영향 상승…기술주 혼조-넷플릭스 7%대, 메타 1%대 상승-테슬라 1%미만 하락, UPS 14%대 급등세",1
4753,2022.02.02,초이스경제,"뉴욕증시 마감 36분전...AT&T·테슬라 '하락', 엑슨모빌·UPS '급등', 10년물금리 1.802%",0
4862,2022.02.02,JTBC,"테슬라, 자율주행 소프트웨어 결함…미국서 5만4000대 리콜",0
4863,2022.02.02,뉴시스,"테슬라, 자율주행차 5만4000대 리콜…'완전멈춤' 미작동 우려",0
4864,2022.02.02,조선비즈,"테슬라, 자율주행차 기능 결함으로 5.4만대 리콜 결정",0
4865,2022.02.02,블로터,"테슬라, 자율주행SW 결함…미국서 차량 5만4천대 리콜",0
4866,2022.02.02,머니S,"정지 신호에도 '시속 9㎞ 직진'… 테슬라, 자율주행차 5.4만대 리콜",0
4867,2022.02.02,ZDNet Korea,"테슬라, 자율주행 결함 인정 5만4천대 리콜",0
4868,2022.02.02,전자신문,"테슬라, 완전자율주행 SW 결함…5만4000여대 리콜",0
4869,2022.02.02,메트로신문,"테슬라, 자율주행차 차량 결함 5만4000대 리콜…정지 신호에도 멈추지 않아",0
4870,2022.02.02,데일리포스트,"테슬라, '롤링 스톱' 위험성에 자율주행차 5만대 리콜",0
4871,2022.02.02,엠투데이,"테슬라 자율주행 소프트웨어, 정지신호 무시 결함으로 5만4천대 리콜",0
4872,2022.02.02,핀포인트뉴스,"테슬라, 美서 5만4000대 리콜...""자율주행 소프트웨어 결함""",0
4873,2022.02.02,매일안전신문,"테슬라, 美서 5만4천대 '자율주행 SW 결함'…완전멈춤 기능정지 '안전위험 리콜'",0
4874,2022.02.15,TV조선,"공정위, '1회 충전 446㎞ 과장광고' 테슬라 제재 착수…다른 전기차는?",0
4875,2022.02.15,뉴시스,"공정위, 테슬라 제재 착수…'배터리 성능 과장 광고' 혐의",0
4876,2022.02.15,서울신문,테슬라 때려잡는 공정위… 차별적 제재? 일벌백계 차원?,0
4877,2022.02.15,머니S,여기저기서 얻어맞는 테슬라… 부품 축소에 인종차별까지 논란 거듭,0
4878,2022.02.15,이데일리,미중 갈등에도 중국서 잘나가는 '테슬라' 제 2공장 짓나,1
4879,2022.02.15,SBS Biz,테슬라 배터리 과장광고 불똥튈라…업계 노심초사,0
4880,2022.02.15,조선비즈,"일론 머스크, 테슬라 주식 6조8000억원 자선단체에 기부",1
4881,2022.02.15,매일경제,테슬라 주식 6조9000억 어치 기부한 머스크…왜?,1
4882,2022.02.15,조선일보,적금처럼 테슬라 사둘걸…작년 분할매수 40%대 수익,1
4883,2022.02.15,디지털데일리,"[DD 퇴근길] 테슬라 주행거리, 겨울엔 믿지 마세요",0
4884,2022.02.15,디지털데일리,"[DD 퇴근길] 테슬라 주행거리, 겨울엔 믿지 마세요",0
4888,2022.02.15,지피코리아,"""바다 속 풍덩"" 테슬라 '모델 X'의 운명은?",1
4890,2022.02.15,연합인포맥스,美 슈퍼볼 뒤덮은 전기차 광고…테슬라는 없었다,0
4891,2022.02.15,뉴스1,"테슬라 저격한 폴스타 광고, 美 슈퍼볼 광고 중 '최고 인기'",0
4892,2022.02.15,데일리카,"테슬라, 미국서 올해만 11번째 리콜..보행자 음향 경고 미작동",0
4893,2022.02.15,비즈니스포스트,"테슬라 핵심 거점은 중국, 생산 늘리고 기가팩토리 2호 설립도 검토",1
4894,2022.02.15,MBC,"[뉴스 열어보기] ""테슬라 배터리 성능 속였다"" 공정위, 100억대 과징금 부과",0
4895,2022.02.15,연합인포맥스,"테슬라, 1월 中 제조 전기차 판매 15%↓…파이퍼샌들러 '톱픽' 유지",0
4897,2022.02.15,베타뉴스,"테슬라, 네덜란드 內 슈퍼차저 충전소 모든 전기차에 개방",1
4898,2022.02.15,데일리카,테슬라 CCS 콤보 1 어댑터 재입고품 조기 품절?..“금주중 입고”,1
4900,2022.02.15,디지털데일리,"러-우크라이나 긴장속…미 증시 주요 기술주 반등, 테슬라 등 전기차 강세",1
4904,2022.02.15,연합인포맥스,"美 테슬라 약세론자, 풋옵션으로 하락 베팅 이어가",1
4905,2022.02.15,머니투데이,테슬라와 함께 달리는 '엘앤에프'...가파른 실적 개선 예측한 보고서,1
4906,2022.02.15,핀포인트뉴스,"테슬라 강세, 리비안·루시드 '폭등' 왜?…우크라 위기에 뉴욕 증시는 하락",1
4908,2022.02.15,내외경제tv,"[특징주] 엘앤에프, 테슬라 올라타고 성장 질주할까 '기대'",1
4909,2022.02.15,글로벌경제,"테슬라 1.83% ↑,엔비디아 1.33% ↑일부 성장 대형기술주 반등",1
4913,2022.02.15,초이스경제,"테슬라, 기록적인 이익에도 미국서 세금 안낸다",1
4916,2022.02.15,핀포인트뉴스,다우· 나스닥지수 속락 마감... 테슬라 상승에 삼성SDI LG화학 SK이노베이션 들썩이나,1
4918,2022.02.15,이코노뉴스,"뉴욕증시, 우크라이나 사태와 연준 긴축 우려에 하락…기술주 혼조-메타 소폭 하락, 테슬라 1%대 상승, 엑손모빌 등 에너지 하락주도",1
4919,2022.02.15,초이스경제,"미국증시 마감 40분전...4대지수 '하락', 테슬라·AMD '상승', 美10년물금리 1.986%",1
